From	To	Species	Gene Name
ACAP1	ENSG00000072818	Homo sapiens	ArfGAP with coiled-coil, ankyrin repeat and PH domains 1(ACAP1)
CCR3	ENSG00000183625	Homo sapiens	C-C motif chemokine receptor 3(CCR3)
KRT14	ENSG00000186847	Homo sapiens	keratin 14(KRT14)
C12orf74	ENSG00000214215	Homo sapiens	chromosome 12 open reading frame 74(C12orf74)
CCR2	ENSG00000121807	Homo sapiens	C-C motif chemokine receptor 2(CCR2)
TFCP2L1	ENSG00000115112	Homo sapiens	transcription factor CP2 like 1(TFCP2L1)
MME	ENSG00000196549	Homo sapiens	membrane metalloendopeptidase(MME)
CD70	ENSG00000125726	Homo sapiens	CD70 molecule(CD70)
OAS2	ENSG00000111335	Homo sapiens	2'-5'-oligoadenylate synthetase 2(OAS2)
VIT	ENSG00000205221	Homo sapiens	vitrin(VIT)
EPHB3	ENSG00000182580	Homo sapiens	EPH receptor B3(EPHB3)
CD72	ENSG00000137101	Homo sapiens	CD72 molecule(CD72)
KRT23	ENSG00000108244	Homo sapiens	keratin 23(KRT23)
FAM65B	ENSG00000111913	Homo sapiens	family with sequence similarity 65 member B(FAM65B)
EPHB6	ENSG00000106123	Homo sapiens	EPH receptor B6(EPHB6)
CD68	ENSG00000129226	Homo sapiens	CD68 molecule(CD68)
CD69	ENSG00000110848	Homo sapiens	CD69 molecule(CD69)
BLNK	ENSG00000095585	Homo sapiens	B-cell linker(BLNK)
C9orf47	ENSG00000186354	Homo sapiens	chromosome 9 open reading frame 47(C9orf47)
ST6GAL1	ENSG00000073849	Homo sapiens	ST6 beta-galactoside alpha-2,6-sialyltransferase 1(ST6GAL1)
OR2A4	ENSG00000180658	Homo sapiens	olfactory receptor family 2 subfamily A member 4(OR2A4)
ST6GAL2	ENSG00000144057	Homo sapiens	ST6 beta-galactoside alpha-2,6-sialyltransferase 2(ST6GAL2)
CRIP3	ENSG00000146215	Homo sapiens	cysteine rich protein 3(CRIP3)
IL1RL1	ENSG00000115602	Homo sapiens	interleukin 1 receptor like 1(IL1RL1)
FAM111B	ENSG00000189057	Homo sapiens	family with sequence similarity 111 member B(FAM111B)
HPCAL4	ENSG00000116983	Homo sapiens	hippocalcin like 4(HPCAL4)
CHI3L1	ENSG00000133048	Homo sapiens	chitinase 3 like 1(CHI3L1)
CHI3L2	ENSG00000064886	Homo sapiens	chitinase 3 like 2(CHI3L2)
KDR	ENSG00000128052	Homo sapiens	kinase insert domain receptor(KDR)
PLA2G4A	ENSG00000116711	Homo sapiens	phospholipase A2 group IVA(PLA2G4A)
IFI27	ENSG00000165949	Homo sapiens	interferon alpha inducible protein 27(IFI27)
OASL	ENSG00000135114	Homo sapiens	2'-5'-oligoadenylate synthetase like(OASL)
SRPX2	ENSG00000102359	Homo sapiens	sushi repeat containing protein, X-linked 2(SRPX2)
ETS1	ENSG00000134954	Homo sapiens	ETS proto-oncogene 1, transcription factor(ETS1)
NTRK1	ENSG00000198400	Homo sapiens	neurotrophic receptor tyrosine kinase 1(NTRK1)
KLF1	ENSG00000105610	Homo sapiens	Kruppel like factor 1(KLF1)
KLF4	ENSG00000136826	Homo sapiens	Kruppel like factor 4(KLF4)
CLCN4	ENSG00000073464	Homo sapiens	chloride voltage-gated channel 4(CLCN4)
ZBTB32	ENSG00000011590	Homo sapiens	zinc finger and BTB domain containing 32(ZBTB32)
KCNJ15	ENSG00000157551	Homo sapiens	potassium voltage-gated channel subfamily J member 15(KCNJ15)
STEAP4	ENSG00000127954	Homo sapiens	STEAP4 metalloreductase(STEAP4)
NRP1	ENSG00000099250	Homo sapiens	neuropilin 1(NRP1)
MYBPC2	ENSG00000086967	Homo sapiens	myosin binding protein C, fast type(MYBPC2)
ZMAT4	ENSG00000165061	Homo sapiens	zinc finger matrin-type 4(ZMAT4)
LY86	ENSG00000112799	Homo sapiens	lymphocyte antigen 86(LY86)
MYO7A	ENSG00000137474	Homo sapiens	myosin VIIA(MYO7A)
PCDHA5	ENSG00000204965	Homo sapiens	protocadherin alpha 5(PCDHA5)
PPARG	ENSG00000132170	Homo sapiens	peroxisome proliferator activated receptor gamma(PPARG)
ARSJ	ENSG00000180801	Homo sapiens	arylsulfatase family member J(ARSJ)
IL4I1	ENSG00000104951	Homo sapiens	interleukin 4 induced 1(IL4I1)
TAS1R3	ENSG00000169962	Homo sapiens	taste 1 receptor member 3(TAS1R3)
ZEB2	ENSG00000169554	Homo sapiens	zinc finger E-box binding homeobox 2(ZEB2)
GJA4	ENSG00000187513	Homo sapiens	gap junction protein alpha 4(GJA4)
SPINK5	ENSG00000133710	Homo sapiens	serine peptidase inhibitor, Kazal type 5(SPINK5)
VILL	ENSG00000136059	Homo sapiens	villin like(VILL)
KCNIP3	ENSG00000115041	Homo sapiens	potassium voltage-gated channel interacting protein 3(KCNIP3)
CRYBB1	ENSG00000100122	Homo sapiens	crystallin beta B1(CRYBB1)
DTHD1	ENSG00000197057	Homo sapiens	death domain containing 1(DTHD1)
SLC24A4	ENSG00000140090	Homo sapiens	solute carrier family 24 member 4(SLC24A4)
CHST15	ENSG00000182022	Homo sapiens	carbohydrate sulfotransferase 15(CHST15)
FCGR3B	ENSG00000162747	Homo sapiens	Fc fragment of IgG receptor IIIb(FCGR3B)
JAKMIP1	ENSG00000152969	Homo sapiens	janus kinase and microtubule interacting protein 1(JAKMIP1)
ICAM1	ENSG00000090339	Homo sapiens	intercellular adhesion molecule 1(ICAM1)
ICAM4	ENSG00000105371	Homo sapiens	intercellular adhesion molecule 4 (Landsteiner-Wiener blood group)(ICAM4)
GZMA	ENSG00000145649	Homo sapiens	granzyme A(GZMA)
ICAM2	ENSG00000108622	Homo sapiens	intercellular adhesion molecule 2(ICAM2)
CAMP	ENSG00000164047	Homo sapiens	cathelicidin antimicrobial peptide(CAMP)
GPR171	ENSG00000174946	Homo sapiens	G protein-coupled receptor 171(GPR171)
PRG2	ENSG00000186652	Homo sapiens	proteoglycan 2, pro eosinophil major basic protein(PRG2)
CD160	ENSG00000117281	Homo sapiens	CD160 molecule(CD160)
GZMB	ENSG00000100453	Homo sapiens	granzyme B(GZMB)
GZMH	ENSG00000100450	Homo sapiens	granzyme H(GZMH)
IQCA1	ENSG00000132321	Homo sapiens	IQ motif containing with AAA domain 1(IQCA1)
LEKR1	ENSG00000197980	Homo sapiens	leucine, glutamate and lysine rich 1(LEKR1)
CD163	ENSG00000177575	Homo sapiens	CD163 molecule(CD163)
GZMM	ENSG00000197540	Homo sapiens	granzyme M(GZMM)
PROK2	ENSG00000163421	Homo sapiens	prokineticin 2(PROK2)
GZMK	ENSG00000113088	Homo sapiens	granzyme K(GZMK)
STYK1	ENSG00000060140	Homo sapiens	serine/threonine/tyrosine kinase 1(STYK1)
CYP27A1	ENSG00000135929	Homo sapiens	cytochrome P450 family 27 subfamily A member 1(CYP27A1)
ADM	ENSG00000148926	Homo sapiens	adrenomedullin(ADM)
PTGDR	ENSG00000168229	Homo sapiens	prostaglandin D2 receptor(PTGDR)
PLA2G7	ENSG00000146070	Homo sapiens	phospholipase A2 group VII(PLA2G7)
FKBP10	ENSG00000141756	Homo sapiens	FK506 binding protein 10(FKBP10)
CHL1	ENSG00000134121	Homo sapiens	cell adhesion molecule L1 like(CHL1)
CXCL1	ENSG00000163739	Homo sapiens	C-X-C motif chemokine ligand 1(CXCL1)
GPR183	ENSG00000169508	Homo sapiens	G protein-coupled receptor 183(GPR183)
PRF1	ENSG00000180644	Homo sapiens	perforin 1(PRF1)
PPFIA4	ENSG00000143847	Homo sapiens	PTPRF interacting protein alpha 4(PPFIA4)
CXCL5	ENSG00000163735	Homo sapiens	C-X-C motif chemokine ligand 5(CXCL5)
CXCL3	ENSG00000163734	Homo sapiens	C-X-C motif chemokine ligand 3(CXCL3)
CXCL9	ENSG00000138755	Homo sapiens	C-X-C motif chemokine ligand 9(CXCL9)
ZBTB16	ENSG00000109906	Homo sapiens	zinc finger and BTB domain containing 16(ZBTB16)
KIT	ENSG00000157404	Homo sapiens	KIT proto-oncogene receptor tyrosine kinase(KIT)
CXCL6	ENSG00000124875	Homo sapiens	C-X-C motif chemokine ligand 6(CXCL6)
DCHS1	ENSG00000166341	Homo sapiens	dachsous cadherin-related 1(DCHS1)
NETO1	ENSG00000166342	Homo sapiens	neuropilin and tolloid like 1(NETO1)
AZU1	ENSG00000172232	Homo sapiens	azurocidin 1(AZU1)
LY6E	ENSG00000160932	Homo sapiens	lymphocyte antigen 6 complex, locus E(LY6E)
SULT1C4	ENSG00000198075	Homo sapiens	sulfotransferase family 1C member 4(SULT1C4)
CD177	ENSG00000204936	Homo sapiens	CD177 molecule(CD177)
BCL2	ENSG00000171791	Homo sapiens	BCL2, apoptosis regulator(BCL2)
BCL11B	ENSG00000127152	Homo sapiens	B-cell CLL/lymphoma 11B(BCL11B)
ETV1	ENSG00000006468	Homo sapiens	ETS variant 1(ETV1)
CD24	ENSG00000272398	Homo sapiens	CD24 molecule(CD24)
ETV4	ENSG00000175832	Homo sapiens	ETS variant 4(ETV4)
CD27	ENSG00000139193	Homo sapiens	CD27 molecule(CD27)
CD28	ENSG00000178562	Homo sapiens	CD28 molecule(CD28)
LRRN3	ENSG00000173114	Homo sapiens	leucine rich repeat neuronal 3(LRRN3)
CSNK1A1L	ENSG00000180138	Homo sapiens	casein kinase 1 alpha 1 like(CSNK1A1L)
CD1C	ENSG00000158481	Homo sapiens	CD1c molecule(CD1C)
NPR1	ENSG00000169418	Homo sapiens	natriuretic peptide receptor 1(NPR1)
CD1B	ENSG00000158485	Homo sapiens	CD1b molecule(CD1B)
CD1A	ENSG00000158477	Homo sapiens	CD1a molecule(CD1A)
BIRC3	ENSG00000023445	Homo sapiens	baculoviral IAP repeat containing 3(BIRC3)
SNAI1	ENSG00000124216	Homo sapiens	snail family transcriptional repressor 1(SNAI1)
CD180	ENSG00000134061	Homo sapiens	CD180 molecule(CD180)
CD1E	ENSG00000158488	Homo sapiens	CD1e molecule(CD1E)
CD1D	ENSG00000158473	Homo sapiens	CD1d molecule(CD1D)
PROM1	ENSG00000007062	Homo sapiens	prominin 1(PROM1)
CD19	ENSG00000177455	Homo sapiens	CD19 molecule(CD19)
FCGR2B	ENSG00000072694	Homo sapiens	Fc fragment of IgG receptor IIb(FCGR2B)
MEOX1	ENSG00000005102	Homo sapiens	mesenchyme homeobox 1(MEOX1)
FBLN5	ENSG00000140092	Homo sapiens	fibulin 5(FBLN5)
GFPT2	ENSG00000131459	Homo sapiens	glutamine-fructose-6-phosphate transaminase 2(GFPT2)
FBLN7	ENSG00000144152	Homo sapiens	fibulin 7(FBLN7)
TMTC1	ENSG00000133687	Homo sapiens	transmembrane and tetratricopeptide repeat containing 1(TMTC1)
CMA1	ENSG00000092009	Homo sapiens	chymase 1(CMA1)
TMEM176B	ENSG00000106565	Homo sapiens	transmembrane protein 176B(TMEM176B)
CD14	ENSG00000170458	Homo sapiens	CD14 molecule(CD14)
TMEM176A	ENSG00000002933	Homo sapiens	transmembrane protein 176A(TMEM176A)
PLXNA4	ENSG00000221866	Homo sapiens	plexin A4(PLXNA4)
PDGFB	ENSG00000100311	Homo sapiens	platelet derived growth factor subunit B(PDGFB)
MMP9	ENSG00000100985	Homo sapiens	matrix metallopeptidase 9(MMP9)
F13A1	ENSG00000124491	Homo sapiens	coagulation factor XIII A chain(F13A1)
MMP7	ENSG00000137673	Homo sapiens	matrix metallopeptidase 7(MMP7)
APOBEC3G	ENSG00000239713	Homo sapiens	apolipoprotein B mRNA editing enzyme catalytic subunit 3G(APOBEC3G)
APOBEC3H	ENSG00000100298	Homo sapiens	apolipoprotein B mRNA editing enzyme catalytic subunit 3H(APOBEC3H)
MMP3	ENSG00000149968	Homo sapiens	matrix metallopeptidase 3(MMP3)
MMP2	ENSG00000087245	Homo sapiens	matrix metallopeptidase 2(MMP2)
MMP1	ENSG00000196611	Homo sapiens	matrix metallopeptidase 1(MMP1)
MMRN2	ENSG00000173269	Homo sapiens	multimerin 2(MMRN2)
KRT81	ENSG00000205426	Homo sapiens	keratin 81(KRT81)
WNT2	ENSG00000105989	Homo sapiens	Wnt family member 2(WNT2)
APOBEC3A	ENSG00000128383	Homo sapiens	apolipoprotein B mRNA editing enzyme catalytic subunit 3A(APOBEC3A)
PTGIR	ENSG00000160013	Homo sapiens	prostaglandin I2 (prostacyclin) receptor (IP)(PTGIR)
DNTT	ENSG00000107447	Homo sapiens	DNA nucleotidylexotransferase(DNTT)
ROBO1	ENSG00000169855	Homo sapiens	roundabout guidance receptor 1(ROBO1)
ROBO4	ENSG00000154133	Homo sapiens	roundabout guidance receptor 4(ROBO4)
MS4A1	ENSG00000156738	Homo sapiens	membrane spanning 4-domains A1(MS4A1)
CSF3R	ENSG00000119535	Homo sapiens	colony stimulating factor 3 receptor(CSF3R)
MS4A2	ENSG00000149534	Homo sapiens	membrane spanning 4-domains A2(MS4A2)
PDGFD	ENSG00000170962	Homo sapiens	platelet derived growth factor D(PDGFD)
MX1	ENSG00000157601	Homo sapiens	MX dynamin like GTPase 1(MX1)
KRT86	ENSG00000170442	Homo sapiens	keratin 86(KRT86)
KIAA0087	ENSG00000122548	Homo sapiens	KIAA0087(KIAA0087)
MS4A7	ENSG00000166927	Homo sapiens	membrane spanning 4-domains A7(MS4A7)
MS4A3	ENSG00000149516	Homo sapiens	membrane spanning 4-domains A3(MS4A3)
GNLY	ENSG00000115523	Homo sapiens	granulysin(GNLY)
HRK	ENSG00000135116	Homo sapiens	harakiri, BCL2 interacting protein(HRK)
FIBCD1	ENSG00000130720	Homo sapiens	fibrinogen C domain containing 1(FIBCD1)
TCN1	ENSG00000134827	Homo sapiens	transcobalamin 1(TCN1)
SP140	ENSG00000079263	Homo sapiens	SP140 nuclear body protein(SP140)
IGSF6	ENSG00000140749	Homo sapiens	immunoglobulin superfamily member 6(IGSF6)
CST7	ENSG00000077984	Homo sapiens	cystatin F(CST7)
DEFA4	ENSG00000164821	Homo sapiens	defensin alpha 4(DEFA4)
SLC37A2	ENSG00000134955	Homo sapiens	solute carrier family 37 member 2(SLC37A2)
GBP1	ENSG00000117228	Homo sapiens	guanylate binding protein 1(GBP1)
ITGAL	ENSG00000005844	Homo sapiens	integrin subunit alpha L(ITGAL)
CAV2	ENSG00000105971	Homo sapiens	caveolin 2(CAV2)
GAL3ST4	ENSG00000197093	Homo sapiens	galactose-3-O-sulfotransferase 4(GAL3ST4)
CAV1	ENSG00000105974	Homo sapiens	caveolin 1(CAV1)
BLK	ENSG00000136573	Homo sapiens	BLK proto-oncogene, Src family tyrosine kinase(BLK)
ITGB4	ENSG00000132470	Homo sapiens	integrin subunit beta 4(ITGB4)
CYTL1	ENSG00000170891	Homo sapiens	cytokine like 1(CYTL1)
TCL1A	ENSG00000100721	Homo sapiens	T-cell leukemia/lymphoma 1A(TCL1A)
TCL1B	ENSG00000213231	Homo sapiens	T-cell leukemia/lymphoma 1B(TCL1B)
ITGB2	ENSG00000160255	Homo sapiens	integrin subunit beta 2(ITGB2)
ITGB3	ENSG00000259753	Homo sapiens	integrin subunit beta 3(ITGB3)
ITGB3	ENSG00000259207	Homo sapiens	integrin subunit beta 3(ITGB3)
PTPRCAP	ENSG00000213402	Homo sapiens	protein tyrosine phosphatase, receptor type C associated protein(PTPRCAP)
FXYD6	ENSG00000137726	Homo sapiens	FXYD domain containing ion transport regulator 6(FXYD6)
FAM177B	ENSG00000197520	Homo sapiens	family with sequence similarity 177 member B(FAM177B)
CORO2B	ENSG00000103647	Homo sapiens	coronin 2B(CORO2B)
TRIM64	ENSG00000204450	Homo sapiens	tripartite motif containing 64(TRIM64)
FOLR2	ENSG00000165457	Homo sapiens	folate receptor beta(FOLR2)
ITGB8	ENSG00000105855	Homo sapiens	integrin subunit beta 8(ITGB8)
ITGB7	ENSG00000139626	Homo sapiens	integrin subunit beta 7(ITGB7)
NPM2	ENSG00000158806	Homo sapiens	nucleophosmin/nucleoplasmin 2(NPM2)
DEFB1	ENSG00000164825	Homo sapiens	defensin beta 1(DEFB1)
CSF1R	ENSG00000182578	Homo sapiens	colony stimulating factor 1 receptor(CSF1R)
FN1	ENSG00000115414	Homo sapiens	fibronectin 1(FN1)
RHOBTB3	ENSG00000164292	Homo sapiens	Rho related BTB domain containing 3(RHOBTB3)
ZNF831	ENSG00000124203	Homo sapiens	zinc finger protein 831(ZNF831)
TCL6	ENSG00000187621	Homo sapiens	T-cell leukemia/lymphoma 6 (non-protein coding)(TCL6)
SLCO4C1	ENSG00000173930	Homo sapiens	solute carrier organic anion transporter family member 4C1(SLCO4C1)
ITGA1	ENSG00000213949	Homo sapiens	integrin subunit alpha 1(ITGA1)
BMX	ENSG00000102010	Homo sapiens	BMX non-receptor tyrosine kinase(BMX)
ITGA2	ENSG00000164171	Homo sapiens	integrin subunit alpha 2(ITGA2)
AK5	ENSG00000154027	Homo sapiens	adenylate kinase 5(AK5)
ITGA4	ENSG00000115232	Homo sapiens	integrin subunit alpha 4(ITGA4)
FOXP3	ENSG00000049768	Homo sapiens	forkhead box P3(FOXP3)
PDZK1IP1	ENSG00000162366	Homo sapiens	PDZK1 interacting protein 1(PDZK1IP1)
SLC4A10	ENSG00000144290	Homo sapiens	solute carrier family 4 member 10(SLC4A10)
FAM198B	ENSG00000164125	Homo sapiens	family with sequence similarity 198 member B(FAM198B)
FCAR	ENSG00000186431	Homo sapiens	Fc fragment of IgA receptor(FCAR)
ITGA5	ENSG00000161638	Homo sapiens	integrin subunit alpha 5(ITGA5)
ITGA7	ENSG00000135424	Homo sapiens	integrin subunit alpha 7(ITGA7)
OR6K3	ENSG00000203757	Homo sapiens	olfactory receptor family 6 subfamily K member 3(OR6K3)
ZNF876P	ENSG00000198155	Homo sapiens	zinc finger protein 876, pseudogene(ZNF876P)
CD79B	ENSG00000007312	Homo sapiens	CD79b molecule(CD79B)
CD79A	ENSG00000105369	Homo sapiens	CD79a molecule(CD79A)
PHEX	ENSG00000102174	Homo sapiens	phosphate regulating endopeptidase homolog, X-linked(PHEX)
CLEC14A	ENSG00000176435	Homo sapiens	C-type lectin domain family 14 member A(CLEC14A)
IFI6	ENSG00000126709	Homo sapiens	interferon alpha inducible protein 6(IFI6)
NYNRIN	ENSG00000205978	Homo sapiens	NYN domain and retroviral integrase containing(NYNRIN)
IL22RA2	ENSG00000164485	Homo sapiens	interleukin 22 receptor subunit alpha 2(IL22RA2)
CD8A	ENSG00000153563	Homo sapiens	CD8a molecule(CD8A)
CD8B	ENSG00000172116	Homo sapiens	CD8b molecule(CD8B)
CXCR1	ENSG00000163464	Homo sapiens	C-X-C motif chemokine receptor 1(CXCR1)
CXCR2	ENSG00000180871	Homo sapiens	C-X-C motif chemokine receptor 2(CXCR2)
CXCR3	ENSG00000186810	Homo sapiens	C-X-C motif chemokine receptor 3(CXCR3)
PDCD1	ENSG00000188389	Homo sapiens	programmed cell death 1(PDCD1)
CD96	ENSG00000153283	Homo sapiens	CD96 molecule(CD96)
ARHGAP22	ENSG00000128805	Homo sapiens	Rho GTPase activating protein 22(ARHGAP22)
CLEC17A	ENSG00000187912	Homo sapiens	C-type lectin domain family 17 member A(CLEC17A)
TMEM171	ENSG00000157111	Homo sapiens	transmembrane protein 171(TMEM171)
CXCR5	ENSG00000160683	Homo sapiens	C-X-C motif chemokine receptor 5(CXCR5)
CD93	ENSG00000125810	Homo sapiens	CD93 molecule(CD93)
CXCR4	ENSG00000121966	Homo sapiens	C-X-C motif chemokine receptor 4(CXCR4)
EMID1	ENSG00000186998	Homo sapiens	EMI domain containing 1(EMID1)
CXCR6	ENSG00000172215	Homo sapiens	C-X-C motif chemokine receptor 6(CXCR6)
CDK14	ENSG00000058091	Homo sapiens	cyclin dependent kinase 14(CDK14)
TNIP3	ENSG00000050730	Homo sapiens	TNFAIP3 interacting protein 3(TNIP3)
KIRREL3	ENSG00000149571	Homo sapiens	kin of IRRE like 3 (Drosophila)(KIRREL3)
LAIR1	ENSG00000167613	Homo sapiens	leukocyte associated immunoglobulin like receptor 1(LAIR1)
LAIR2	ENSG00000167618	Homo sapiens	leukocyte associated immunoglobulin like receptor 2(LAIR2)
MYCT1	ENSG00000120279	Homo sapiens	myc target 1(MYCT1)
LEF1	ENSG00000138795	Homo sapiens	lymphoid enhancer binding factor 1(LEF1)
SEZ6L	ENSG00000100095	Homo sapiens	seizure related 6 homolog like(SEZ6L)
NLRP3	ENSG00000162711	Homo sapiens	NLR family pyrin domain containing 3(NLRP3)
TPSD1	ENSG00000095917	Homo sapiens	tryptase delta 1(TPSD1)
MSC	ENSG00000178860	Homo sapiens	musculin(MSC)
MIXL1	ENSG00000185155	Homo sapiens	Mix paired-like homeobox(MIXL1)
PROC	ENSG00000115718	Homo sapiens	protein C, inactivator of coagulation factors Va and VIIIa(PROC)
OSM	ENSG00000099985	Homo sapiens	oncostatin M(OSM)
FAM134B	ENSG00000154153	Homo sapiens	family with sequence similarity 134 member B(FAM134B)
CD84	ENSG00000066294	Homo sapiens	CD84 molecule(CD84)
CD86	ENSG00000114013	Homo sapiens	CD86 molecule(CD86)
CLECL1	ENSG00000184293	Homo sapiens	C-type lectin like 1(CLECL1)
CD80	ENSG00000121594	Homo sapiens	CD80 molecule(CD80)
SLPI	ENSG00000124107	Homo sapiens	secretory leukocyte peptidase inhibitor(SLPI)
CUX2	ENSG00000111249	Homo sapiens	cut like homeobox 2(CUX2)
AOC2	ENSG00000131480	Homo sapiens	amine oxidase, copper containing 2(AOC2)
MBL2	ENSG00000165471	Homo sapiens	mannose binding lectin 2(MBL2)
GLIS3	ENSG00000107249	Homo sapiens	GLIS family zinc finger 3(GLIS3)
GPRC5D	ENSG00000111291	Homo sapiens	G protein-coupled receptor class C group 5 member D(GPRC5D)
TNC	ENSG00000041982	Homo sapiens	tenascin C(TNC)
TNFRSF8	ENSG00000120949	Homo sapiens	TNF receptor superfamily member 8(TNFRSF8)
TMEM156	ENSG00000121895	Homo sapiens	transmembrane protein 156(TMEM156)
PALMD	ENSG00000099260	Homo sapiens	palmdelphin(PALMD)
C1S	ENSG00000182326	Homo sapiens	complement C1s(C1S)
GPRC5B	ENSG00000167191	Homo sapiens	G protein-coupled receptor class C group 5 member B(GPRC5B)
DNAH8	ENSG00000124721	Homo sapiens	dynein axonemal heavy chain 8(DNAH8)
TNFRSF4	ENSG00000186827	Homo sapiens	TNF receptor superfamily member 4(TNFRSF4)
GPR1	ENSG00000183671	Homo sapiens	G protein-coupled receptor 1(GPR1)
DNAH6	ENSG00000115423	Homo sapiens	dynein axonemal heavy chain 6(DNAH6)
PATL2	ENSG00000229474	Homo sapiens	PAT1 homolog 2(PATL2)
NPTX2	ENSG00000106236	Homo sapiens	neuronal pentraxin 2(NPTX2)
POU2F2	ENSG00000028277	Homo sapiens	POU class 2 homeobox 2(POU2F2)
TGM3	ENSG00000125780	Homo sapiens	transglutaminase 3(TGM3)
OXCT2	ENSG00000198754	Homo sapiens	3-oxoacid CoA-transferase 2(OXCT2)
TGM5	ENSG00000104055	Homo sapiens	transglutaminase 5(TGM5)
GFI1	ENSG00000162676	Homo sapiens	growth factor independent 1 transcriptional repressor(GFI1)
MAGEA11	ENSG00000185247	Homo sapiens	MAGE family member A11(MAGEA11)
NEFL	ENSG00000277586	Homo sapiens	neurofilament, light polypeptide(NEFL)
OR6N1	ENSG00000197403	Homo sapiens	olfactory receptor family 6 subfamily N member 1(OR6N1)
ZC3H12D	ENSG00000178199	Homo sapiens	zinc finger CCCH-type containing 12D(ZC3H12D)
OR6N2	ENSG00000188340	Homo sapiens	olfactory receptor family 6 subfamily N member 2(OR6N2)
DPT	ENSG00000143196	Homo sapiens	dermatopontin(DPT)
IL2RB	ENSG00000100385	Homo sapiens	interleukin 2 receptor subunit beta(IL2RB)
IL2RA	ENSG00000134460	Homo sapiens	interleukin 2 receptor subunit alpha(IL2RA)
GIMAP5	ENSG00000196329	Homo sapiens	GTPase, IMAP family member 5(GIMAP5)
GIMAP6	ENSG00000133561	Homo sapiens	GTPase, IMAP family member 6(GIMAP6)
GIMAP7	ENSG00000179144	Homo sapiens	GTPase, IMAP family member 7(GIMAP7)
MAP1A	ENSG00000166963	Homo sapiens	microtubule associated protein 1A(MAP1A)
IFNA10	ENSG00000186803	Homo sapiens	interferon alpha 10(IFNA10)
PRR5L	ENSG00000135362	Homo sapiens	proline rich 5 like(PRR5L)
KRT73	ENSG00000186049	Homo sapiens	keratin 73(KRT73)
KRT72	ENSG00000170486	Homo sapiens	keratin 72(KRT72)
PRLR	ENSG00000113494	Homo sapiens	prolactin receptor(PRLR)
IRF8	ENSG00000140968	Homo sapiens	interferon regulatory factor 8(IRF8)
PECAM1	ENSG00000261371	Homo sapiens	platelet and endothelial cell adhesion molecule 1(PECAM1)
SLC18A2	ENSG00000165646	Homo sapiens	solute carrier family 18 member A2(SLC18A2)
IRF4	ENSG00000137265	Homo sapiens	interferon regulatory factor 4(IRF4)
BANK1	ENSG00000153064	Homo sapiens	B-cell scaffold protein with ankyrin repeats 1(BANK1)
ALOX5	ENSG00000012779	Homo sapiens	arachidonate 5-lipoxygenase(ALOX5)
MPL	ENSG00000117400	Homo sapiens	MPL proto-oncogene, thrombopoietin receptor(MPL)
IGFBP3	ENSG00000146674	Homo sapiens	insulin like growth factor binding protein 3(IGFBP3)
IGFBP4	ENSG00000141753	Homo sapiens	insulin like growth factor binding protein 4(IGFBP4)
KLHL33	ENSG00000185271	Homo sapiens	kelch like family member 33(KLHL33)
A2M	ENSG00000175899	Homo sapiens	alpha-2-macroglobulin(A2M)
FSTL3	ENSG00000070404	Homo sapiens	follistatin like 3(FSTL3)
HTR1B	ENSG00000135312	Homo sapiens	5-hydroxytryptamine receptor 1B(HTR1B)
FLI1	ENSG00000151702	Homo sapiens	Fli-1 proto-oncogene, ETS transcription factor(FLI1)
CTGF	ENSG00000118523	Homo sapiens	connective tissue growth factor(CTGF)
FAP	ENSG00000078098	Homo sapiens	fibroblast activation protein alpha(FAP)
OSCAR	ENSG00000170909	Homo sapiens	osteoclast associated, immunoglobulin-like receptor(OSCAR)
TPSB2	ENSG00000197253	Homo sapiens	tryptase beta 2 (gene/pseudogene)(TPSB2)
GNG4	ENSG00000168243	Homo sapiens	G protein subunit gamma 4(GNG4)
CCNA1	ENSG00000133101	Homo sapiens	cyclin A1(CCNA1)
HTR1F	ENSG00000179097	Homo sapiens	5-hydroxytryptamine receptor 1F(HTR1F)
GNG7	ENSG00000176533	Homo sapiens	G protein subunit gamma 7(GNG7)
PTPRM	ENSG00000173482	Homo sapiens	protein tyrosine phosphatase, receptor type M(PTPRM)
NCF2	ENSG00000116701	Homo sapiens	neutrophil cytosolic factor 2(NCF2)
CDHR1	ENSG00000148600	Homo sapiens	cadherin related family member 1(CDHR1)
COLEC12	ENSG00000158270	Homo sapiens	collectin subfamily member 12(COLEC12)
CYP2E1	ENSG00000130649	Homo sapiens	cytochrome P450 family 2 subfamily E member 1(CYP2E1)
SSPN	ENSG00000123096	Homo sapiens	sarcospan(SSPN)
PDCD1LG2	ENSG00000197646	Homo sapiens	programmed cell death 1 ligand 2(PDCD1LG2)
CTNNA2	ENSG00000066032	Homo sapiens	catenin alpha 2(CTNNA2)
SIRPG	ENSG00000089012	Homo sapiens	signal regulatory protein gamma(SIRPG)
ADAMTS1	ENSG00000154734	Homo sapiens	ADAM metallopeptidase with thrombospondin type 1 motif 1(ADAMTS1)
HLA-DPA1	ENSG00000231389	Homo sapiens	major histocompatibility complex, class II, DP alpha 1(HLA-DPA1)
ADAMTS3	ENSG00000156140	Homo sapiens	ADAM metallopeptidase with thrombospondin type 1 motif 3(ADAMTS3)
GRAP2	ENSG00000100351	Homo sapiens	GRB2-related adaptor protein 2(GRAP2)
